copper loss(W),iron loss(W),eddy current loss(W),Overall tem rise（°C）,coil tem rise（°C）,Permanent magnet tem rise（°C）
100,20,20,15.53555637,11.39502797,9.942408862
100,20,56,19.52451629,21.51022332,18.90104896
100,20,92,23.51347621,31.62541867,27.85968906
100,20,128,27.50243612,41.74061402,36.81832915
100,20,164,31.49139604,51.85580937,45.77696925
100,20,200,35.48035596,61.97100472,54.73560934
100,76,20,21.74060513,27.12977629,23.87807123
100,76,56,25.72956505,37.24497164,32.83671133
100,76,92,29.71852497,47.36016699,41.79535143
100,76,128,33.70748489,57.47536234,50.75399152
100,76,164,37.6964448,67.5905577,59.71263162
100,76,200,41.68540472,77.70575304,68.67127172
100,132,20,27.94565389,42.86452462,37.81373361
100,132,56,31.93461381,52.97971996,46.7723737
100,132,92,35.92357373,63.09491531,55.7310138
100,132,128,39.91253365,73.21011067,64.68965389
100,132,164,43.90149356,83.32530602,73.64829399
100,132,200,47.89045348,93.44050137,82.60693409
100,188,20,34.15070265,58.59927294,51.74939598
100,188,56,38.13966257,68.71446829,60.70803608
100,188,92,42.12862249,78.82966364,69.66667617
100,188,128,46.11758241,88.94485899,78.62531627
100,188,164,50.10654233,99.06005434,87.58395636
100,188,200,54.09550225,109.1752497,96.54259646
100,244,20,40.35575142,74.33402126,65.68505835
100,244,56,44.34471133,84.44921661,74.64369845
100,244,92,48.33367125,94.56441197,83.60233855
100,244,128,52.32263117,104.6796073,92.56097864
100,244,164,56.31159109,114.7948027,101.5196187
100,244,200,60.30055101,124.909998,110.4782588
100,300,20,46.56080018,90.06876958,79.62072072
100,300,56,50.54976009,100.1839649,88.57936082
100,300,92,54.53872001,110.2991603,97.53800092
100,300,128,58.52767993,120.4143556,106.496641
100,300,164,62.51663985,130.529551,115.4552811
100,300,200,66.50559979,140.6447463,124.4139212
200,20,20,26.63893505,11.55095,9.930773174
200,20,56,30.62789497,21.66614535,18.88941327
200,20,92,34.61685489,31.7813407,27.84805337
200,20,128,38.60581481,41.89653605,36.80669346
200,20,164,42.59477473,52.0117314,45.76533356
200,20,200,46.58373464,62.12692675,54.72397366
200,76,20,32.84398382,27.28569832,23.86643555
200,76,56,36.83294373,37.40089367,32.82507564
200,76,92,40.82190365,47.51608902,41.78371574
200,76,128,44.81086357,57.63128437,50.74235583
200,76,164,48.79982349,67.74647972,59.70099593
200,76,200,52.7887834,77.86167507,68.65963603
200,132,20,39.04903258,43.02044664,37.80209792
200,132,56,43.03799249,53.13564199,46.76073802
200,132,92,47.02695241,63.25083734,55.71937811
200,132,128,51.01591233,73.36603269,64.67801821
200,132,164,55.00487225,83.48122805,73.63665831
200,132,200,58.99383217,93.59642339,82.5952984
200,188,20,45.25408134,58.75519497,51.73776029
200,188,56,49.24304126,68.87039032,60.69640039
200,188,92,53.23200117,78.98558566,69.65504048
200,188,128,57.22096109,89.10078101,78.61368058
200,188,164,61.20992101,99.21597637,87.57232068
200,188,200,65.19888093,109.3311717,96.53096077
200,244,20,51.4591301,74.48994329,65.67342266
200,244,56,55.44809002,84.60513864,74.63206276
200,244,92,59.43704993,94.72033399,83.59070285
200,244,128,63.42600985,104.8355293,92.54934295
200,244,164,67.41496977,114.9507247,101.507983
200,244,200,71.40392969,125.06592,110.4666231
200,300,20,57.66417886,90.22469161,79.60908503
200,300,56,61.65313878,100.339887,88.56772513
200,300,92,65.64209869,110.4550823,97.52636522
200,300,128,69.63105861,120.5702777,106.4850053
200,300,164,73.62001853,130.685473,115.4436454
200,300,200,77.60897845,140.8006684,124.4022855
300,20,20,37.74231374,11.70687202,9.919137485
300,20,56,41.73127366,21.82206737,18.87777758
300,20,92,45.72023357,31.93726272,27.83641768
300,20,128,49.70919349,42.05245807,36.79505777
300,20,164,53.69815341,52.16765342,45.75369787
300,20,200,57.68711333,62.28284877,54.71233797
300,76,20,43.9473625,27.44162035,23.85479986
300,76,56,47.93632242,37.5568157,32.81343996
300,76,92,51.92528234,47.67201105,41.77208005
300,76,128,55.91424225,57.7872064,50.73072015
300,76,164,59.90320217,67.90240174,59.68936024
300,76,200,63.89216209,78.0175971,68.64800034
300,132,20,50.15241126,43.17636867,37.79046223
300,132,56,54.14137118,53.29156401,46.74910232
300,132,92,58.1303311,63.40675937,55.70774242
300,132,128,62.11929101,73.52195472,64.66638252
300,132,164,66.10825093,83.63715007,73.62502262
300,132,200,70.09721085,93.75234542,82.58366271
300,188,20,56.35746002,58.91111699,51.7261246
300,188,56,60.34641994,69.02631234,60.6847647
300,188,92,64.33537986,79.14150769,69.64340479
300,188,128,68.32433977,89.25670304,78.60204489
300,188,164,72.31329969,99.37189839,87.56068499
300,188,200,76.30225961,109.4870937,96.51932508
300,244,20,62.56250878,74.64586531,65.66178698
300,244,56,66.5514687,84.76106066,74.62042706
300,244,92,70.54042862,94.87625601,83.57906717
300,244,128,74.52938854,104.9914514,92.53770726
300,244,164,78.51834846,115.1066467,101.4963474
300,244,200,82.50730837,125.2218421,110.4549875
300,300,20,68.76755754,90.38061363,79.59744934
300,300,56,72.75651746,100.495809,88.55608945
300,300,92,76.74547738,110.6110043,97.51472954
300,300,128,80.7344373,120.7261997,106.4733696
300,300,164,84.72339722,130.841395,115.4320097
300,300,200,88.71235713,140.9565904,124.3906498
400,20,20,48.84569242,11.86279405,9.907501797
400,20,56,52.83465234,21.9779894,18.86614189
400,20,92,56.82361226,32.09318475,27.82478199
400,20,128,60.81257218,42.2083801,36.78342209
400,20,164,64.80153209,52.32357545,45.74206218
400,20,200,68.79049201,62.4387708,54.70070228
400,76,20,55.05074118,27.59754237,23.84316417
400,76,56,59.0397011,37.71273772,32.80180426
400,76,92,63.02866102,47.82793307,41.76044436
400,76,128,67.01762094,57.94312842,50.71908446
400,76,164,71.00658085,68.05832377,59.67772455
400,76,200,74.99554077,78.17351912,68.63636465
400,132,20,61.25578994,43.33229069,37.77882654
400,132,56,65.24474986,53.44748604,46.73746664
400,132,92,69.23370978,63.56268139,55.69610673
400,132,128,73.2226697,73.67787674,64.65474683
400,132,164,77.21162961,83.79307209,73.61338692
400,132,200,81.20058953,93.90826745,82.57202703
400,188,20,67.4608387,59.06703902,51.71448891
400,188,56,71.44979862,69.18223437,60.67312901
400,188,92,75.43875854,79.29742971,69.6317691
400,188,128,79.42771846,89.41262507,78.5904092
400,188,164,83.41667838,99.52782041,87.5490493
400,188,200,87.4056383,109.6430158,96.5076894
400,244,20,73.66588747,74.80178734,65.65015129
400,244,56,77.65484739,84.91698269,74.60879138
400,244,92,81.6438073,95.03217804,83.56743147
400,244,128,85.63276722,105.1473734,92.52607158
400,244,164,89.62172714,115.2625687,101.4847117
400,244,200,93.61068706,125.3777641,110.4433518
400,300,20,79.87093623,90.53653566,79.58581366
400,300,56,83.85989614,100.651731,88.54445375
400,300,92,87.84885606,110.7669264,97.50309385
400,300,128,91.83781598,120.8821217,106.4617339
400,300,164,95.8267759,130.9973171,115.420374
400,300,200,99.81573582,141.1125124,124.3790141
500,20,20,59.94907111,12.01871607,9.895866109
500,20,56,63.93803102,22.13391142,18.8545062
500,20,92,67.92699094,32.24910677,27.8131463
500,20,128,71.91595086,42.36430213,36.7717864
500,20,164,75.90491078,52.47949748,45.7304265
500,20,200,79.8938707,62.59469283,54.68906659
500,76,20,66.15411987,27.7534644,23.83152848
500,76,56,70.14307978,37.86865975,32.79016858
500,76,92,74.1320397,47.9838551,41.74880867
500,76,128,78.12099962,58.09905045,50.70744877
500,76,164,82.10995954,68.2142458,59.66608886
500,76,200,86.09891946,78.32944115,68.62472896
500,132,20,72.35916863,43.48821272,37.76719085
500,132,56,76.34812855,53.60340807,46.72583095
500,132,92,80.33708847,63.71860342,55.68447105
500,132,128,84.32604838,73.83379877,64.64311114
500,132,164,88.3150083,83.94899412,73.60175124
500,132,200,92.30396822,94.06418947,82.56039133
500,188,20,78.56421739,59.22296104,51.70285322
500,188,56,82.55317731,69.33815639,60.66149332
500,188,92,86.54213723,79.45335174,69.62013342
500,188,128,90.53109714,89.56854709,78.57877351
500,188,164,94.52005706,99.68374244,87.53741361
500,188,200,98.50901698,109.7989378,96.4960537
500,244,20,84.76926615,74.95770936,65.63851559
500,244,56,88.75822607,85.07290472,74.59715569
500,244,92,92.74718599,95.18810006,83.55579579
500,244,128,96.7361459,105.3032954,92.51443589
500,244,164,100.7251058,115.4184908,101.473076
500,244,200,104.7140657,125.5336861,110.4317161
500,300,20,90.97431491,90.69245769,79.57417797
500,300,56,94.96327483,100.807653,88.53281807
500,300,92,98.95223475,110.9228484,97.49145816
500,300,128,102.9411947,121.0380437,106.4500983
500,300,164,106.9301546,131.1532391,115.4087384
500,300,200,110.9191145,141.2684344,124.3673785
600,20,20,71.05244979,12.1746381,9.884230419
600,20,56,75.04140971,22.28983345,18.84287052
600,20,92,79.03036962,32.4050288,27.80151061
600,20,128,83.01932954,42.52022415,36.76015071
600,20,164,87.00828946,52.6354195,45.7187908
600,20,200,90.99724938,62.75061485,54.6774309
600,76,20,77.25749855,27.90938642,23.81989279
600,76,56,81.24645847,38.02458177,32.77853289
600,76,92,85.23541839,48.13977712,41.73717299
600,76,128,89.2243783,58.25497247,50.69581308
600,76,164,93.21333822,68.37016782,59.65445318
600,76,200,97.20229814,78.48536317,68.61309327
600,132,20,83.46254731,43.64413474,37.75555516
600,132,56,87.45150723,53.7593301,46.71419526
600,132,92,91.44046715,63.87452545,55.67283536
600,132,128,95.42942707,73.9897208,64.63147545
600,132,164,99.41838698,84.10491615,73.59011555
600,132,200,103.4073469,94.2201115,82.54875565
600,188,20,89.66759607,59.37888306,51.69121753
600,188,56,93.65655599,69.49407842,60.64985763
600,188,92,97.64551591,79.60927377,69.60849773
600,188,128,101.6344758,89.72446912,78.56713782
600,188,164,105.6234357,99.83966446,87.52577792
600,188,200,109.6123957,109.9548598,96.48441802
600,244,20,95.87264483,75.11363139,65.62687991
600,244,56,99.86160475,85.22882674,74.58552001
600,244,92,103.8505647,95.3440221,83.54416011
600,244,128,107.8395246,105.4592174,92.50280019
600,244,164,111.8284845,115.5744128,101.4614403
600,244,200,115.8174444,125.6896081,110.4200804
600,300,20,102.0776936,90.84837971,79.56254228
600,300,56,106.0666535,100.9635751,88.52118237
600,300,92,110.0556134,111.0787704,97.47982248
600,300,128,114.0445733,121.1939658,106.4384626
600,300,164,118.0335333,131.3091611,115.3971027
600,300,200,122.0224932,141.4243565,124.3557428
700,20,20,82.15582847,12.33056012,9.87259473
700,20,56,86.14478839,22.44575548,18.83123483
700,20,92,90.13374831,32.56095082,27.78987492
700,20,128,94.12270823,42.67614617,36.74851502
700,20,164,98.11166814,52.79134152,45.70715511
700,20,200,102.1006281,62.90653688,54.66579521
700,76,20,88.36087723,28.06530844,23.8082571
700,76,56,92.34983715,38.1805038,32.7668972
700,76,92,96.33879707,48.29569915,41.7255373
700,76,128,100.327757,58.4108945,50.68417739
700,76,164,104.3167169,68.52608985,59.64281749
700,76,200,108.3056768,78.6412852,68.60145758
700,132,20,94.56592599,43.80005677,37.74391947
700,132,56,98.55488591,53.91525212,46.70255957
700,132,92,102.5438458,64.03044747,55.66119967
700,132,128,106.5328057,74.14564282,64.61983976
700,132,164,110.5217657,84.26083817,73.57847986
700,132,200,114.5107256,94.37603351,82.53711995
700,188,20,100.7709748,59.53480509,51.67958185
700,188,56,104.7599347,69.65000045,60.63822195
700,188,92,108.7488946,79.76519579,69.59686204
700,188,128,112.7378545,89.88039115,78.55550214
700,188,164,116.7268144,99.99558649,87.51414223
700,188,200,120.7157743,110.1107819,96.47278233
