copper loss(W),iron loss(W),eddy current loss(W),Overall tem rise（°C）,,,coil tem rise（°C）,,,Permanent magnet tem rise（°C）,,
,,,min,max,average,min,max,average,min,max,average
100,20,20,4.6297,38.915,32.901,33.793,37.047,36.164,29.818,37.105,35.15
100,20,56,-19.707,55.689,35.452,39.897,39.297,38.313,33.017,55.689,35.202
100,20,92,-45.724,76.61,38.021,36.637,42.554,40.485,35.552,76.61,43.514
100,20,128,-71.742,97.531,40.587,38.07,45.915,42.654,37.092,97.531,47.704
100,20,164,-97.759,118.45,43.152,39.502,49.284,44.821,38.275,118.45,51.892
100,20,200,-123.77,139.37,45.715,40.932,52.651,46.985,39.457,139.37,56.078
100,76,20,1.8639,41.613,35.29,36.558,40.759,39.345,31.257,41.095,38.153
100,76,56,-20.028,55.988,37.859,38.043,42.683,41.516,34.769,55.988,42.345
100,76,92,-46.045,76.906,40.426,39.476,44.923,43.686,37.497,76.906,46.535
100,76,128,-72.062,97.827,42.991,40.907,48.245,45.853,39.857,97.827,50.723
100,76,164,-98.078,118.75,45.554,42.337,51.599,48.018,41.888,118.75,54.909
100,76,200,-124.09,139.67,48.116,43.765,54.963,50.181,43.904,139.67,59.094
100,132,20,-0.94636,45.511,37.696,38.59,44.532,42.547,32.708,45.511,41.175
100,132,56,-20.348,56.288,40.263,40.881,46.386,44.717,36.385,56.288,45.365
100,132,92,-46.365,77.202,42.829,42.312,48.336,46.885,39.278,77.202,49.553
100,132,128,-72.382,98.123,45.393,43.741,50.592,49.05,41.856,98.123,53.74
100,132,164,’-98.398,119.04,47.955,45.169,53.926,51.213,44.097,119.04,57.925
100,132,200,‘-124.41,139.96,50.515,46.595,57.273,53.374,46.113,139.96,62.107
100,188,20,’-3.7535,50.513,40.101,40.621,48.329,45.748,33.735,50.513,44.195
100,188,56,-20.668,56.6,42.667,43.716,50.141,47.916,37.934,56.6,48.383
100,188,92,-46.685,77.5,45.231,45.145,52.025,50.082,41.05,77.5,52.57
100,188,128,-72.701,98.418,47.793,46.572,53.983,52.245,43.75,98.418,56.755
100,188,164,-98.716,119.34,50.353,47.998,56.261,54.407,46.152,119.34,60.938
100,188,200,-124.73,140.26,52.912,49.422,59.596,56.566,48.319,140.26,65.12
100,244,20,-6.5576,55.518,42.504,42.649,52.13,48.947,33.956,55.518,47.213
100,244,56,-20.987,57.118,45.068,45.83,53.935,51.113,39.482,57.118,51.4
100,244,92,-47.004,77.798,47.631,47.974,55.759,53.277,42.794,77.798,55.585
100,244,128,-73.019,98.712,50.191,49.4,57.671,55.439,45.528,98.712,59.769
100,244,164,-99.035,119.63,52.75,50.823,59.625,57.598,48.146,119.63,63.95
100,244,200,-125.05,140.55,55.307,52.246,61.928,59.755,50.442,140.55,68.13
100,300,20,-9.3587,60.525,44.905,44.675,55.933,52.144,34.176,60.525,50.23
100,300,56,-21.306,62.12,47.468,47.854,57.728,54.308,41.007,62.12,54.415
100,300,92,-47.322,78.096,50.029,50.801,59.536,56.47,44.411,78.096,58.599
100,300,128,-73.338,99.009,52.588,52.224,61.401,58.63,47.295,99.009,62.78
100,300,164,-99.353,119.93,55.145,53.646,63.309,60.787,49.99,119.93,66.96
100,300,200,-125.37,140.85,57.701,55.066,65.266,62.942,52.433,140.85,71.138
200,20,20,-9.1448,52.338,41.466,43.696,49.65,47.919,33.843,49.774,44.843
200,20,56,-20.82,56.754,44.029,45.125,51.714,50.085,38.661,56.754,49.03
200,20,92,-46.836,77.645,46.591,46.552,54.019,52.248,41.871,77.645,53.215
200,20,128,-72.852,98.561,49.151,47.978,57.033,54.409,44.575,98.561,57.397
200,20,164,-98.867,119.48,51.71,49.402,60.332,56.567,47.072,119.48,61.578
200,20,200,-124.88,140.4,54.266,50.824,63.663,58.723,48.619,140.4,65.757
200,76,20,-11.944,55.066,43.867,46.527,53.376,51.116,34.063,53.509,47.86
